sale_id,product_id,customer_id,store_id,promotion_id,supplier_id,date_id,quantity_sold,unit_price,discount_amount,total_amount,cost_amount,profit_margin,payment_method,payment_token,payment_last4,iban_is_test,created_utc
SALE00001,P0018,C00144,S0035,PR015,SUP009,20250202,1,6.24,0.00,6.24,3.61,0.4215,card_token,tok_card_8edfebb6e78b,2222,false,2025-02-02T21:24:00Z
SALE00002,P0012,C00728,S0067,PR002,SUP006,20250710,2,3.32,0.00,6.64,4.50,0.3223,card_token,tok_card_e44efcea5361,0000,false,2025-07-10T16:14:00Z
SALE00003,P0032,C01402,S0113,PR012,SUP004,20250602,3,2.60,0.00,7.80,5.91,0.2423,iban_token,tok_iban_ES76_TSTB_2698441515,,true,2025-06-02T15:41:00Z
SALE00004,P0017,C00178,S0178,,SUP008,20250909,5,1.23,0.00,6.15,4.10,0.3333,iban_token,tok_iban_NL93_TSTB_7252102827,,true,2025-09-09T12:04:00Z
SALE00005,P0024,C00487,S0119,PR013,SUP006,20260101,3,6.55,0.00,19.65,14.82,0.2458,iban_token,tok_iban_IT74_TSTB_7417275981,,true,2026-01-01T19:58:00Z
SALE00006,P0022,C00056,S0096,PR008,SUP002,20250215,7,5.17,0.00,36.19,26.32,0.2727,iban_token,tok_iban_NL23_TSTB_9713790961,,true,2025-02-15T11:39:00Z
SALE00007,P0009,C00507,S0085,PR015,SUP004,20251223,8,6.89,0.00,55.12,35.12,0.3628,iban_token,tok_iban_NL72_TSTB_4651692488,,true,2025-12-23T18:55:00Z
SALE00008,P0029,C01626,S0088,PR003,SUP008,20250208,3,4.84,0.00,14.52,8.58,0.4091,iban_token,tok_iban_NL36_TSTB_2920560647,,true,2025-02-08T13:21:00Z
SALE00009,P0051,C01357,S0174,PR009,SUP007,20250616,4,3.23,0.00,12.92,7.60,0.4118,card_token,tok_card_d5a57776f2b6,1881,false,2025-06-16T21:56:00Z
SALE00010,P0048,C00286,S0023,PR014,SUP003,20251025,6,3.55,0.00,21.30,16.14,0.2423,card_token,tok_card_be6e1e6aee5e,4444,false,2025-10-25T18:23:00Z
SALE00011,P0017,C01963,S0157,PR015,SUP008,20251015,7,1.23,0.00,8.61,5.74,0.3333,card_token,tok_card_00b9a8ba7da5,4242,false,2025-10-15T13:57:00Z
SALE00012,P0009,C01678,S0136,PR012,SUP008,20250321,5,6.89,0.00,34.45,21.95,0.3628,iban_token,tok_iban_FR98_TSTB_5483787722,,true,2025-03-21T12:28:00Z
SALE00013,P0055,C00447,S0107,PR004,SUP001,20251130,2,1.86,0.00,3.72,2.36,0.3656,card_token,tok_card_bffabb8914f9,2222,false,2025-11-30T15:22:00Z
SALE00014,P0045,C00093,S0169,PR001,SUP005,20251205,7,6.55,0.00,45.85,29.54,0.3557,wallet,tok_wallet_0de74efe4ba4,,false,2025-12-05T16:18:00Z
SALE00015,P0044,C01466,S0198,PR006,SUP008,20251017,2,3.28,0.00,6.56,4.34,0.3384,iban_token,tok_iban_FR45_TSTB_7406169078,,true,2025-10-17T14:12:00Z
SALE00016,P0056,C01135,S0142,PR008,SUP005,20250925,3,4.90,0.00,14.70,8.58,0.4163,card_token,tok_card_abdb3f4f1ca0,2222,false,2025-09-25T19:19:00Z
SALE00017,P0050,C01105,S0169,PR012,SUP008,20250513,8,6.29,0.00,50.32,29.52,0.4134,iban_token,tok_iban_NL61_TSTB_4840248340,,true,2025-05-13T08:21:00Z
SALE00018,P0004,C00149,S0067,PR010,SUP007,20251206,3,2.90,0.00,8.70,5.55,0.3621,iban_token,tok_iban_NL27_TSTB_6955312531,,true,2025-12-06T20:10:00Z
