event_id,event_ts,event_type,customer_id,first_name,last_name,email_masked,phone_masked,country_iso2,city,preferred_language,marketing_consent,loyalty_tier,user_tenure_days,days_since_last_purchase,past_12m_orders,avg_order_value_user,device_type,channel,campaign_id,coupon_applied,product_sku,product_name,product_category,product_subcategory,brand,is_fragile,list_price,discount_pct,unit_price,gift_persona,delivery_speed,delivery_window_hours,payment_type_masked,rating,returned_flag,shipping_country_iso2,currency,season
EVT-009398,2023-01-01 02:33:09.666688,purchase,C01646,Yui,Brown,yui.****2.e***@it,+39*******424,IT,Milan,Zh,True,Gold,0,,0,,web,email,,True,CHO-1011,Heart Box Pralines v2,Chocolate,General,VelvetCacao,False,30.54,0.23,23.52,Partner,express,24,card,4.0,False,IT,AED,regular
EVT-004979,2023-01-01 03:22:36.629888,view,C01626,Mateo,Patel,mate****2.e***@br,+55*******554,BR,Rio de Janeiro,It,True,Silver,0,,0,,web,web,,False,GIF-1075,Universal Gift Card $50 v1,GiftCards,GiftCard,Giftly,False,100.0,0.11,89.0,Partner,standard,48,,,False,BR,INR,regular
EVT-001856,2023-01-01 07:18:34.529109,view,C01517,Hiro,De Vries,hiro****1.e***@com,+19*******996,US,New York,De,False,Silver,704,,0,,web,app,,False,JEW-1028,Silver Pendant Heart v4,Jewelry,General,LunaGems,True,73.42,0.16,61.67,Partner,standard,48,,,False,US,GBP,regular
EVT-007532,2023-01-01 11:04:57.202901,view,C00359,Giulia,Williams,giul****s.e***@fr,+33*******090,FR,Paris,Es,False,Bronze,0,,0,,web,web,,False,FLO-1015,Red Roses 12x v1,Flowers,Roses,BloomCraft,True,50.06,0.12,44.05,Friend,same_day,8,,,False,FR,INR,regular
EVT-004565,2023-01-01 11:37:22.694028,add_to_cart,C00934,Noah,Wang,noah****1.e***@in,+91*******738,IN,Mumbai,Da,False,Silver,0,,0,,web,app,,False,GIF-1084,Universal Gift Card $100 v5,GiftCards,GiftCard,Giftly,False,25.0,0.02,24.5,Partner,standard,48,,,False,IN,EUR,regular
EVT-003834,2023-01-01 15:23:57.231937,add_to_cart,C01077,Olivia,Zhang,oliv****g.e***@sg,+65*******134,SG,Singapore,Nl,False,Bronze,296,,0,,app,app,,False,GIF-1082,Universal Gift Card $100 v3,GiftCards,GiftCard,Giftly,False,50.0,0.0,50.0,Partner,standard,48,,,False,SG,BRL,regular
EVT-007135,2023-01-02 02:44:13.413962,add_to_cart,C00850,Giulia,Romano,giul****1.e***@pl,+48*******926,PL,Warsaw,En,True,Bronze,0,,0,,web,web,CMP-976,False,GIF-1082,Universal Gift Card $100 v3,GiftCards,GiftCard,Giftly,False,50.0,0.1,45.0,Partner,two_hour,2,,,False,PL,EUR,regular
EVT-004771,2023-01-02 04:30:36.771879,view,C01644,Noah,Tanaka,noah****1.e***@za,+27*******159,ZA,Cape Town,Sv,True,Gold,0,,0,,web,app,,False,PER-1061,Midnight Bloom v2,Perfume,General,Scentora,True,70.35,0.01,69.65,Partner,standard,48,,,False,ZA,MXN,regular
EVT-001125,2023-01-02 17:18:22.088085,wishlist,C01896,Léa,Kowalski,lea.****i.e***@mx,+52*******522,MX,Guadalajara,Es,True,Gold,313,,0,,app,web,CMP-246,False,CHO-1000,Truffle Assortment v1,Chocolate,General,SweetArrow,False,18.11,0.0,18.11,Friend,express,24,,,False,MX,RON,regular
EVT-006069,2023-01-02 21:59:32.821605,view,C01943,Leah,Kowalski,leah****2.e***@au,+61*******855,AU,Sydney,Hi,False,Silver,0,,0,,web,email,,False,PLU-1067,Giant Teddy Bear v3,Plush,General,CuddleNest,False,27.3,0.17,22.66,Colleague,standard,48,,,False,AU,CNY,regular
EVT-004794,2023-01-03 03:00:44.857882,add_to_cart,C01615,Mateo,Nowak,mate****1.e***@mx,+52*******337,MX,Ciudad de México,Sv,True,Bronze,700,,0,,web,web,,False,GIF-1077,Universal Gift Card $50 v3,GiftCards,GiftCard,Giftly,False,50.0,0.14,43.0,Partner,standard,48,,,False,MX,MXN,regular
EVT-009899,2023-01-03 04:44:14.354514,view,C00667,Giulia,Wang,giul****2.e***@de,+49*******020,DE,Cologne,Es,True,Gold,370,,0,,app,web,,False,FLO-1024,Tulip Mix 20x v5,Flowers,General,PetalWorks,True,79.76,0.0,79.76,Partner,standard,48,,,False,DE,ZAR,regular
